
2020-dic.-31 10:24:16 [RMI TCP Connection(39)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2020-dic.-31 10:27:13 [Thread-8] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl  - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2020-dic.-31 10:27:13 [Thread-8] WARN  o.s.b.f.s.DisposableBeanAdapter                    - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: La base de datos ya esta cerrada (para des-habilitar el cerrado automatico durante el shutdown de la VM, agregue ";DB_CLOSE_ON_EXIT=FALSE" a la URL de conexión)
Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2020-dic.-31 10:27:13 [Thread-8] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Shutdown initiated...
2020-dic.-31 10:27:13 [Thread-8] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Shutdown completed.
2020-dic.-31 10:27:13 [restartedMain] INFO  c.s.s.a.p.SpringbootServicioProductosApplication   - Starting SpringbootServicioProductosApplication using Java 15.0.1 on DESKTOP-V13VVHS with PID 3064 (C:\Users\ADMIN\Documents\devel\proyecto_soaint\springboot-servicio-productos\target\classes started by ADMIN in C:\Users\ADMIN\Documents\devel\proyecto_soaint\springboot-servicio-productos)
2020-dic.-31 10:27:13 [restartedMain] INFO  c.s.s.a.p.SpringbootServicioProductosApplication   - No active profile set, falling back to default profiles: default
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 13 ms. Found 4 JPA repository interfaces.
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8001 (http)
2020-dic.-31 10:27:13 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8001"]
2020-dic.-31 10:27:13 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat]
2020-dic.-31 10:27:13 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.41]
2020-dic.-31 10:27:13 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 226 ms
2020-dic.-31 10:27:13 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-3 - Starting...
2020-dic.-31 10:27:13 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-3 - Start completed.
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration               - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:de731f5e-2113-4a42-902e-11319faf8245'
2020-dic.-31 10:27:13 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-dic.-31 10:27:13 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-dic.-31 10:27:13 [restartedMain] INFO  o.h.t.s.i.SchemaCreatorImpl                        - HHH000476: Executing import script 'file:/C:/Users/ADMIN/Documents/devel/proyecto_soaint/springboot-servicio-productos/target/classes/import.sql'
2020-dic.-31 10:27:13 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729
2020-dic.-31 10:27:13 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor                     - Initializing ExecutorService 'applicationTaskExecutor'
2020-dic.-31 10:27:13 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8001"]
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8001 (http) with context path ''
2020-dic.-31 10:27:13 [restartedMain] INFO  c.s.s.a.p.SpringbootServicioProductosApplication   - Started SpringbootServicioProductosApplication in 0.5 seconds (JVM running for 173.285)
2020-dic.-31 10:27:13 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener  - Condition evaluation unchanged
2020-dic.-31 10:27:28 [http-nio-8001-exec-2] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-dic.-31 10:27:28 [http-nio-8001-exec-2] INFO  o.s.w.s.DispatcherServlet                          - Initializing Servlet 'dispatcherServlet'
2020-dic.-31 10:27:28 [http-nio-8001-exec-2] INFO  o.s.w.s.DispatcherServlet                          - Completed initialization in 1 ms
2020-dic.-31 10:34:09 [Thread-14] INFO  o.s.s.c.ThreadPoolTaskExecutor                     - Shutting down ExecutorService 'applicationTaskExecutor'
2020-dic.-31 10:34:09 [Thread-14] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-dic.-31 10:34:09 [Thread-14] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl  - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2020-dic.-31 10:34:09 [Thread-14] WARN  o.s.b.f.s.DisposableBeanAdapter                    - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: La base de datos ya esta cerrada (para des-habilitar el cerrado automatico durante el shutdown de la VM, agregue ";DB_CLOSE_ON_EXIT=FALSE" a la URL de conexión)
Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2020-dic.-31 10:34:09 [Thread-14] INFO  c.z.h.HikariDataSource                             - HikariPool-3 - Shutdown initiated...
2020-dic.-31 10:34:09 [Thread-14] INFO  c.z.h.HikariDataSource                             - HikariPool-3 - Shutdown completed.
